Follower Athlete ID,Follow Status,Created At
14917007,Accepted,"Jul 7, 2017, 7:33:22 PM"
23165112,Accepted,"Jul 7, 2017, 7:35:05 PM"
15438585,Accepted,"Jul 9, 2017, 12:41:16 AM"
23152236,Accepted,"Jul 21, 2017, 11:33:29 AM"
22996579,Accepted,"Jul 23, 2017, 2:00:09 PM"
22996939,Accepted,"Aug 3, 2017, 2:43:50 AM"
16975512,Accepted,"Aug 3, 2017, 2:46:09 AM"
22996447,Accepted,"Aug 8, 2017, 4:41:42 PM"
23001388,Accepted,"Aug 17, 2017, 5:48:45 PM"
22999104,Accepted,"Aug 19, 2017, 7:54:41 PM"
22999126,Accepted,"Mar 30, 2018, 10:03:00 PM"
16128201,Accepted,"Aug 26, 2018, 5:31:55 PM"
22609111,Accepted,"Aug 28, 2018, 4:21:16 AM"
43632709,Accepted,"Jul 9, 2019, 6:08:23 PM"
25257725,Accepted,"Jul 26, 2019, 2:39:40 AM"
23014809,Accepted,"Aug 14, 2019, 8:20:30 PM"
22882643,Accepted,"Mar 17, 2020, 1:43:39 AM"
52490776,Accepted,"Mar 23, 2020, 2:05:51 AM"
22413628,Accepted,"Mar 24, 2020, 2:10:00 PM"
50487504,Accepted,"Apr 1, 2020, 6:05:02 PM"
25629893,Accepted,"May 20, 2020, 8:14:58 PM"
23021307,Accepted,"May 24, 2020, 7:07:00 AM"
22187670,Accepted,"Jun 8, 2020, 11:34:36 PM"
60925184,Accepted,"Jun 13, 2020, 9:39:10 PM"
46260311,Accepted,"Jun 29, 2020, 8:12:47 PM"
65119864,Accepted,"Aug 11, 2020, 12:22:13 AM"
71900020,Accepted,"Nov 12, 2020, 9:56:57 PM"
22997647,Accepted,"Dec 21, 2020, 10:21:41 PM"
61954294,Accepted,"Jun 4, 2021, 1:57:31 AM"
52353537,Accepted,"Jun 6, 2021, 10:25:44 PM"
59564930,Accepted,"Jun 20, 2021, 10:28:30 PM"
68853208,Accepted,"Sep 1, 2021, 12:13:16 PM"
46428741,Accepted,"Oct 2, 2021, 5:33:06 PM"
45012327,Accepted,"Nov 5, 2021, 11:03:31 PM"
9945373,Accepted,"Nov 15, 2021, 9:19:00 PM"
21744190,Accepted,"Jan 28, 2022, 5:13:07 PM"
85633087,Accepted,"Apr 17, 2022, 2:52:53 AM"
