Following Athlete ID,Follow Status,Created At
14917007,Accepted,"Jul 7, 2017, 7:33:00 PM"
15438585,Accepted,"Jul 7, 2017, 7:33:00 PM"
23165112,Accepted,"Jul 17, 2017, 8:19:04 PM"
23152236,Accepted,"Jul 21, 2017, 11:38:13 AM"
22996579,Accepted,"Jul 23, 2017, 3:33:09 AM"
22996447,Accepted,"Aug 3, 2017, 2:11:36 AM"
22996939,Accepted,"Aug 3, 2017, 2:11:53 AM"
16975512,Accepted,"Aug 3, 2017, 2:11:57 AM"
23001388,Accepted,"Oct 14, 2017, 12:56:23 PM"
22999126,Accepted,"Mar 30, 2018, 9:13:41 PM"
22609111,Accepted,"Aug 21, 2018, 6:47:27 PM"
16128201,Accepted,"Aug 21, 2018, 6:47:34 PM"
43632709,Accepted,"Jul 13, 2019, 3:23:07 AM"
25257725,Accepted,"Jul 26, 2019, 2:52:30 AM"
23014809,Accepted,"Aug 14, 2019, 2:02:08 AM"
22882643,Accepted,"Mar 18, 2020, 6:30:02 PM"
22691239,Accepted,"Mar 18, 2020, 6:30:19 PM"
23003112,Accepted,"Mar 18, 2020, 6:30:22 PM"
25814494,Accepted,"Mar 18, 2020, 6:30:29 PM"
25629893,Accepted,"May 20, 2020, 8:14:24 PM"
22607065,Accepted,"May 21, 2020, 5:43:07 AM"
52490776,Accepted,"May 24, 2020, 10:42:46 PM"
51990392,Accepted,"May 24, 2020, 10:42:49 PM"
22996859,Accepted,"May 24, 2020, 10:42:52 PM"
23021307,Accepted,"Jun 6, 2020, 10:24:20 PM"
60925184,Accepted,"Jun 13, 2020, 8:49:57 PM"
46260311,Accepted,"Jun 29, 2020, 11:12:46 PM"
65119864,Accepted,"Sep 20, 2020, 4:05:40 PM"
71900020,Accepted,"Dec 13, 2020, 4:24:30 PM"
22997647,Accepted,"Dec 21, 2020, 10:47:23 PM"
23002538,Accepted,"Jan 3, 2021, 5:21:39 AM"
61954294,Accepted,"Apr 9, 2021, 8:19:10 PM"
73004582,Accepted,"May 8, 2021, 10:14:09 PM"
52353537,Accepted,"Jun 6, 2021, 5:08:57 PM"
59564930,Accepted,"Jun 21, 2021, 4:06:27 AM"
85633087,Accepted,"Jul 12, 2021, 9:39:09 PM"
68853208,Accepted,"Aug 31, 2021, 2:58:16 PM"
46428741,Accepted,"Sep 21, 2021, 4:24:15 AM"
21744190,Accepted,"Oct 1, 2021, 7:18:03 PM"
22187670,Accepted,"Oct 11, 2021, 1:11:09 AM"
45012327,Accepted,"Nov 8, 2021, 9:22:38 PM"
9945373,Accepted,"Dec 5, 2021, 2:05:06 PM"
